"distinguish","telic","telic","telic"
"blended","telic","telic","telic"
"iced","telic","telic","telic"
"debarred","telic","telic","atelic"
"inspire","atelic","telic","telic"
"ruin","telic","telic","telic"
"reflect","atelic","atelic","telic"
"freed","telic","telic","telic"
"jibes","X_atelic","atelic","atelic"
"gulping","atelic","atelic","atelic"
"Cradling","telic","atelic","X_atelic"
"invited","telic","telic","telic"
"scanned","atelic","telic","telic"
"simplifying","telic","telic","telic"
"slant","atelic","atelic","atelic"
"disrupt","telic","telic","atelic"
"stupefied","telic","X_atelic","X_atelic"
"originated","X_atelic","telic","X_atelic"
"agitated","telic","X_atelic","X_atelic"
"banked","telic","telic","telic"
"puzzled","telic","X_atelic","X_atelic"
"stayed","atelic","X_atelic","X_atelic"
"laboring","atelic","atelic","dummy_t"
"presenting","telic","telic","atelic"
"crumbled","telic","telic","atelic"
"depends","X_atelic","X_atelic","X_atelic"
"facing","X_atelic","X_atelic","X_atelic"
"daydream","atelic","atelic","atelic"
"restrain","atelic","telic","X_atelic"
"bested","telic","telic","telic"
"categorized","telic","telic","telic"
"looping","dummy_t","atelic","dummy_t"
"divulged","telic","telic","telic"
"made","telic","telic","telic"
"coveted","X_atelic","X_atelic","X_atelic"
"bang","telic","telic","telic"
"baby-sitting","atelic","atelic","atelic"
"Wearied","telic","telic","X_atelic"
"extort","telic","telic","telic"
"REEVALUATE","telic","telic","telic"
"impart","telic","telic","telic"
"pleased","X_atelic","X_atelic","X_atelic"
"entitles","X_atelic","telic","X_atelic"
"celebrate","telic","atelic","telic"
"honouring","telic","telic","X_atelic"
"rebuke","telic","telic","telic"
"conceived","telic","telic","telic"
"sheltered","atelic","atelic","atelic"
"nominated","telic","telic","telic"
"bespeaks","X_atelic","X_atelic","X_atelic"
"Mixed","X_atelic","X_atelic","X_atelic"
"invaded","telic","telic","dummy_t"
"surprised","dummy_t","telic","X_atelic"
"executed","telic","telic","telic"
"gliding","telic","atelic","atelic"
"vomited","dummy_t","telic","telic"
"budge","telic","telic","telic"
"disconcerting","telic","X_atelic","dummy_t"
"outlining","telic","telic","atelic"
"infer","telic","telic","X_atelic"
"firing","atelic","atelic","atelic"
"comprised","X_atelic","X_atelic","X_atelic"
"annoying","atelic","atelic","X_atelic"
"capsized","telic","telic","telic"
"invested","telic","telic","X_atelic"
"transformed","telic","telic","telic"
"salvaged","telic","telic","telic"
"conversing","atelic","atelic","atelic"
"messed","telic","telic","telic"
"conforms","X_atelic","X_atelic","X_atelic"
"prospered","atelic","atelic","telic"
"scar","telic","telic","telic"
"elongated","atelic","atelic","telic"
"looked","telic","telic","telic"
"befallen","telic","telic","X_atelic"
"negate","X_atelic","telic","X_atelic"
"brandished","atelic","telic","X_atelic"
"crash","telic","telic","telic"
