"Verb","human only labels","human vallex labels","sentence"
"reproached","telic","impf","It was a bit rough to be reproached for hankering after what he 'd voluntarily turned down."
"sniffed","telic","impf","He sniffed the air and thought for an instant that maybe he smelled something."
"dawned","telic","impf","It may be that a new day has dawned, but who knows how long it will last?"
"objected","telic","impf","She ought to have objected, refused to go with him, insisted on returning and handing the taxi over to the Barclays, walked back, revolted by his unscrupulousness, into the dance."
"pervert","telic","impf","Would you prefer to bow down before codswallop and pervert your life at the whim of a priesthood, all in the name of a supposed seriousness?"
"imitating","atelic","pf","It was some moments before he realised that he was now imitating the Principal."
"ascended","telic","impf","When they ascended the steps to the hall, Maria 's alarm was every moment increasing, and even Sir William did not look perfectly calm."
"harmed","telic","impf","Sophie was encouraging me to use the same substance, to do the same activity, that had so harmed her."
"belittling","telic","impf","He would flatter his well-born patients ingeniously, praising their strength and endurance, arousing their vanity and will to resist their illness; or by suggestion, belittling the disease and its significance."
"tempt","telic","impf","We know how little there is to tempt any one to our humble abode."
"designed","telic","impf","“ Perhaps whoever designed it had eyes that responded to different wavelengths, ” offered Trillian."
"allude","telic","impf","' You allude, perhaps, to the entail of this estate. '"
"burnt","telic","impf","As he stood and gazed bleakly at it, a sudden inhuman wail of terror emanated from it as of a man having his soul burnt from his body."
"cried","telic","impf","“ And now, ” cried Max from the centre of the stage, “ the moment you ’ ve all been waiting for! ”"
"tidied","telic","impf","The travellers had to look after their own needs and cleaned up the han as much as they found necessary for their own convenience, but as each one went his way he left behind manure and disorder for others to clean up and put right, even as he himself had tidied up whatever he had found dirty and in disorder."
"plies","telic","impf","Bodner plies her with tea :"
"marrying","telic","impf","' Yes, I know women are all dead keen on marrying men they do n't much like."
"snubbed","telic","impf","His wife had been snubbed by Trudy shortly after she took delivery of the red Rolls."
"forecast","telic","impf","The weak warm front which had been forecast for late evening looked as if it were arriving well before schedule."
"mute","telic","impf","The protection of his parents, the protection provided by Walt as his older, six-foot-two-and-a-half-inch brother, his own innate confidence, his bright charm, his running prowess ( "" the fastest kid in the Oranges "" ), even his color, which made of him someone that people sometimes could n't quite figure out-all this combined to mute for Coleman the insults that Walter found intolerable."
"butt","telic","impf","Do n't you butt in."
"starve","telic","impf","She told me about her family, which included industrialists as well as National Revival schoolmasters, a wanderer who settled on the western slopes of the Andes, and a romantic aunt who, when she failed to keep the lover she longed for, decided to starve herself to death."
"chase","telic","impf","I was seething with shame and fury and when this ridiculous situation became unbearable, I hurled my crop among the children, who scattered for a moment, but gathered again immediately and began to chase us with an even louder din."
"quiz","telic","impf","This time, however, we have a matter of doctrine on which to quiz P."
"participate","atelic","pf","Each one burned with the desire to contribute to the defence of his faith and good order and each wanted, with the greatest conviction and holy indignation, to participate, not only with their own eyes but with their hands, in the killing and torture of traitors and the wicked people who were to blame for all the great ills in the country and for all their personal misfortunes and the sufferings of each one of them."
"disclosed","telic","impf","Even this danger receded for a couple of minutes while Welch disclosed a few facts about the recent history of the effeminate writing Michel, a character always waiting in the wings of Dixon 's life but apparently destined never to enter its stage."
"attended","telic","impf","Madame Bauer with her husband and a few other officers attended the funeral."
"inciting","telic","impf","The Consuls struggled for influence with the Vizier and his chief assistants, and bribed the ayans in the border towns, inciting them to plunder and raid their opponent 's territory."
"shot","telic","impf",""" But you shot at us!"
"prosecuting","telic","impf","Every broken answer he had deepened his impression of the great disaster that had come on humanity, deepened his persuasion of the immediate necessity for prosecuting this flight."
"warmed","telic","impf","and he warmed himself in that sun, which had set, as he had never been warmed by the real sun which rose and set daily over the town."
