"distinguish","telic","telic","telic"
"blended","telic","telic","telic"
"iced","telic","telic","telic"
"ruin","telic","telic","telic"
"freed","telic","telic","telic"
"gulping","atelic","atelic","atelic"
"invited","telic","telic","telic"
"simplifying","telic","telic","telic"
"slant","atelic","atelic","atelic"
"banked","telic","telic","telic"
"laboring","atelic","atelic","dummy_t"
"depends","X_atelic","X_atelic","X_atelic"
"facing","X_atelic","X_atelic","X_atelic"
"daydream","atelic","atelic","atelic"
"bested","telic","telic","telic"
"categorized","telic","telic","telic"
"looping","dummy_t","atelic","dummy_t"
"divulged","telic","telic","telic"
"made","telic","telic","telic"
"coveted","X_atelic","X_atelic","X_atelic"
"bang","telic","telic","telic"
"baby-sitting","atelic","atelic","atelic"
"extort","telic","telic","telic"
"REEVALUATE","telic","telic","telic"
"impart","telic","telic","telic"
"pleased","X_atelic","X_atelic","X_atelic"
"rebuke","telic","telic","telic"
"conceived","telic","telic","telic"
"sheltered","atelic","atelic","atelic"
"nominated","telic","telic","telic"
"bespeaks","X_atelic","X_atelic","X_atelic"
"Mixed","X_atelic","X_atelic","X_atelic"
"invaded","telic","telic","dummy_t"
"executed","telic","telic","telic"
"vomited","dummy_t","telic","telic"
"budge","telic","telic","telic"
"firing","atelic","atelic","atelic"
"comprised","X_atelic","X_atelic","X_atelic"
"capsized","telic","telic","telic"
"transformed","telic","telic","telic"
"salvaged","telic","telic","telic"
"conversing","atelic","atelic","atelic"
"messed","telic","telic","telic"
"conforms","X_atelic","X_atelic","X_atelic"
"scar","telic","telic","telic"
"looked","telic","telic","telic"
"crash","telic","telic","telic"
"cured","telic","telic","telic"
"eliminating","telic","telic","telic"
"slaking","atelic","atelic","atelic"
"fended","telic","telic","telic"
"repealed","telic","telic","telic"
"spilled","telic","telic","telic"
"master","telic","telic","telic"
"longed","X_atelic","X_atelic","X_atelic"
"flooded","telic","telic","telic"
"wrangle","atelic","atelic","atelic"
"outfit","telic","telic","telic"
"gyrating","atelic","atelic","atelic"
"deleted","telic","telic","telic"
"believe","X_atelic","X_atelic","X_atelic"
"devolved","telic","telic","telic"
"advised","telic","telic","telic"
"allowed","X_atelic","X_atelic","X_atelic"
"appeal","telic","telic","dummy_t"
"circumventing","telic","telic","telic"
"bake","telic","telic","telic"
"redouble","telic","telic","telic"
"glanced","telic","telic","telic"
"opened","telic","telic","telic"
"convulsing","atelic","atelic","atelic"
"fished","atelic","atelic","atelic"
"badger","atelic","atelic","atelic"
"expelled","telic","telic","telic"
"scurried","telic","telic","telic"
"remember","X_atelic","X_atelic","X_atelic"
"dubbed","telic","telic","telic"
"overstepped","telic","telic","telic"
"curtailed","telic","telic","telic"
"witness","telic","telic","telic"
"swamp","telic","telic","telic"
"deferred","telic","telic","telic"
